trials_2.thisTrialN,trials_2.stepSize,trials_2.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrans,orrientation,key_resp.corr,trials_2.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
91,0.5,3.0,137.96548079999957,138.46485209999992,138.46485209999992,138.46485209999992,138.77010530000007,right,3.0,1,1,0.61432220000097,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
92,0.5,3.0,139.0889731999996,139.58887010000035,139.58887010000035,139.58887010000035,139.89379459999873,right,3.0,1,1,0.497435500001302,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
93,0.5,3.0,140.09487199999967,140.59450119999929,140.59450119999929,140.59450119999929,140.89977349999936,left,-3.0,1,1,0.5767059000008885,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
94,0.5,2.5,141.1841542000002,141.68377519999922,141.68377519999922,141.68377519999922,141.98916049999934,left,-2.5,1,1,0.5113252999999531,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
95,0.5,2.5,142.20392229999925,142.70323649999955,142.70323649999955,142.70323649999955,143.0084558999988,right,2.5,0,0,0.41792570000143314,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
96,0.5,3.0,143.133405999999,143.63311819999944,143.63311819999944,143.63311819999944,143.93819599999915,right,3.0,0,0,0.4650030000011611,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
97,0.5,3.5,144.10476059999928,144.6043153999999,144.6043153999999,144.6043153999999,144.9097540999992,left,-3.5,1,1,0.8381227999998373,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
98,0.5,3.5,145.45057769999949,145.9502539999994,145.9502539999994,145.9502539999994,146.2551139999996,right,3.5,1,1,2.494027799999458,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
99,0.5,3.5,148.45435629999884,148.95397539999976,148.95397539999976,148.95397539999976,149.25896399999874,left,-3.5,1,1,1.2746917000004032,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
100,0.5,3.0,150.23726530000022,150.73686429999907,150.73686429999907,150.73686429999907,151.04171320000023,left,-3.0,1,1,0.7314602000024024,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
101,0.5,3.0,151.48402759999954,151.9786081000002,151.9786081000002,151.9854125999991,152.2840802999999,left,-3.0,1,1,0.49951060000057623,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
102,0.5,3.0,152.49003269999957,152.98465579999902,152.98465579999902,152.99164559999917,153.28958909999892,left,-3.0,1,1,0.35649280000143335,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
103,0.5,2.5,153.35201039999993,153.8516354000003,153.8516354000003,153.8516354000003,154.15675310000006,left,-2.5,1,1,0.47325610000007146,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
104,0.5,2.5,154.33712249999917,154.83701829999882,154.83701829999882,154.83701829999882,155.14203739999903,right,2.5,1,1,0.5424573999989661,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
105,0.5,2.5,155.39158879999923,155.89149109999926,155.89149109999926,155.89149109999926,156.1965170000003,left,-2.5,1,1,0.4811341000004177,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
106,0.5,2.0,156.38871349999863,156.88327949999984,156.88327949999984,156.8901520999989,157.1884199999986,left,-2.0,0,0,0.6534983000001375,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
107,0.5,2.5,157.55401119999988,158.04859159999978,158.04859159999978,158.05547619999925,158.35370169999987,right,2.5,1,1,1.4367056999999477,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
